Folder	ConsManifesto2015	ConsManifesto2015_Rel_Freq	GreenManifesto2015	GreenManifesto2015_Rel_Freq	LabourManifesto2015	LabourManifesto2015_Rel_Freq	LibdemManifesto2015	LibdemManifesto2015_Rel_Freq	PlaidCymruManifesto2015	PlaidCymruManifesto2015_Rel_Freq	SNPManifesto2015	SNPManifesto2015_Rel_Freq	UKIPManifesto2015	UKIPManifesto2015_Rel_Freq	TOTAL	TOTAL_Rel_Freq	RANGE	Log_Likelihood	Dispersion_DP	Dispersion_DPnorm	
war-affected	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.04	0.78	0.87	
ward	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.86	0.85	0.95	
wards	1 	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00	2	5.50	0.74	0.82	
warehouse	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.44	0.82	0.91	
warehoused	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.44	0.82	0.91	
warehouses	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	1	0.00	1	4.65	0.90	1.00	
warfare	0	0.00	0	0.00	0	0.00	1 	0.00	2 	0.01	0	0.00	0	0.00	3	0.00	2	8.93	0.72	0.80	
warhead	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.44	0.82	0.91	
warm	2 	0.01	4 	0.01	1 	0.01	2 	0.01	0	0.00	0	0.00	0	0.00	9	0.00	4	8.04	0.34	0.38	
warming	1 	0.00	7 	0.02	1 	0.01	1 	0.00	0	0.00	0	0.00	0	0.00	10	0.01	4	14.19	0.48	0.54	
warmth	0	0.00	0	0.00	1 	0.01	2 	0.01	0	0.00	0	0.00	0	0.00	3	0.00	2	7.71	0.72	0.80	
warn	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.63	0.84	0.93	
warning	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	1 	0.01	0	0.00	2	0.00	2	5.30	0.72	0.80	
warnings	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	1	0.00	1	4.65	0.90	1.00	
