Folder	BrexitPartyManifesto2019	BrexitPartyManifesto2019_Rel_Freq	ConsManifesto2019	ConsManifesto2019_Rel_Freq	GreenManifesto2019	GreenManifesto2019_Rel_Freq	LabourManifesto2019	LabourManifesto2019_Rel_Freq	LibdemManifesto2019	LibdemManifesto2019_Rel_Freq	PlaidCymruManifesto2019	PlaidCymruManifesto2019_Rel_Freq	SNPManifesto2019	SNPManifesto2019_Rel_Freq	TOTAL	TOTAL_Rel_Freq	RANGE	Log_Likelihood	Dispersion_DP	Dispersion_DPnorm	
&pound;13.9_billion	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.69	0.84	0.85	
&pound;130_billion	0	0.00	0	0.00	0	0.00	0	0.00	3 	0.01	0	0.00	0	0.00	3	0.00	1	9.78	0.80	0.82	
&pound;136	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.69	0.84	0.85	
&pound;13bn	2 	0.11	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00	1	17.04	0.99	1.00	
&pound;14.8_billion	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.69	0.84	0.85	
&pound;141.5_billion	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.54	0.83	0.84	
&pound;14_billion	0	0.00	2 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00	1	7.57	0.85	0.86	
&pound;14bn	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	4.15	0.87	0.89	
&pound;15,000	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	4.15	0.87	0.89	
&pound;150	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	1	0.00	1	3.26	0.80	0.82	
&pound;150.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2 	0.01	2	0.00	1	7.39	0.84	0.85	
&pound;150_billion	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.37	0.81	0.83	
&pound;150_million	0	0.00	2 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00	1	7.57	0.85	0.86	
&pound;150m	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	4.15	0.87	0.89	
&pound;15_billion	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1 	0.01	2 	0.01	4	0.00	3	6.48	0.52	0.53	
